date,H,A,delta,n_H
2026-03-06,21.84872278002921,0.8389978056530163,-21.009724974376194,24
2026-03-07,9.81507951007851,-1.0535714839605872,-10.868650994039097,10
2026-03-08,11.151095031240095,-15.872168663396966,-27.02326369463706,33
2026-03-09,16.00368502337243,-2.331471595201351,-18.33515661857378,80
2026-03-10,10.406431392695765,11.822539211943255,1.4161078192474896,123
2026-03-11,10.707548680768731,7.20673375724912,-3.500814923519611,43
2026-03-21,8.435981778322885,-0.27346478949634323,-8.709446567819228,50
2026-03-22,8.333731558203326,-8.932320904656518,-17.266052462859843,50
2026-03-23,10.076777612990623,5.3396289634163,-4.737148649574324,11
2026-03-24,14.67784079262437,4.211811849474339,-10.46602894315003,29
2026-03-26,7.5180197529390576,-9.678935671311569,-17.196955424250625,22
2026-03-27,9.214457639841093,-7.910731003048806,-17.1251886428899,31
2026-03-28,8.714655771896467,2.4508268274441165,-6.263828944452351,11
2026-03-29,-6.143195604871641,-11.104456776156956,-4.961261171285315,11
2026-03-30,12.318429088325614,1.387007510168877,-10.931421578156737,30
2026-03-31,10.076859411081392,-28.223576293506518,-38.30043570458791,58
2026-04-01,17.50405483097374,-6.30128124930757,-23.805336080281307,35
2026-04-02,20.08055126134246,4.672981764628794,-15.407569496713666,64
2026-04-03,12.365059508856534,-0.0016858457778036635,-12.366745354634338,73
2026-04-04,14.70360221788813,-6.3809974447042315,-21.08459966259236,41
2026-04-05,18.538233618040135,-0.14950022784523448,-18.68773384588537,31
2026-04-06,20.09912357445728,3.502708995554234,-16.596414578903047,55
2026-04-08,14.308623304945792,-0.09962047350522961,-14.408243778451022,40
2026-04-09,12.966590707765725,1.6477464452243942,-11.318844262541331,54
2026-04-10,23.051592854374316,11.351880064598559,-11.699712789775758,73
2026-04-11,22.308177103939062,4.168644585618323,-18.13953251832074,51
2026-04-12,17.48467707721686,2.945132684400755,-14.539544392816104,67
2026-04-13,19.708885677998826,9.349321201213195,-10.35956447678563,68
2026-04-14,23.859886479635623,-2.947769722788249,-26.80765620242387,42
2026-04-15,23.065062203794973,4.39666271268232,-18.668399491112652,55
2026-04-16,12.731791562020177,3.8186340069425353,-8.913157555077643,84
2026-04-17,11.319824202769286,1.486759546631725,-9.833064656137562,110
2026-04-18,10.806791956465714,-2.7229823930005157,-13.52977434946623,66
2026-04-19,5.4542854429445295,-8.310668631595346,-13.764954074539876,122
2026-04-20,12.442799493914729,13.157232877136483,0.7144333832217544,54
2026-04-21,14.518003256690404,-0.7160367905472428,-15.234040047237647,53
2026-04-23,17.967337926320813,3.6974745442555013,-14.269863382065312,75
2026-04-24,11.917635824196125,9.165428707537341,-2.7522071166587843,54
2026-04-25,16.446715118660823,8.311693941101995,-8.135021177558828,9
2026-04-26,9.61334895303503,-1.9400969995826278,-11.553445952617658,15
2026-04-27,13.30358206019014,-0.21761911628579536,-13.521201176475936,34
2026-04-28,20.84878217894344,20.661751031767984,-0.18703114717545688,35
2026-04-29,14.070701861853209,1.0693084635693495,-13.00139339828386,116
2026-04-30,6.081407359844065,-7.308634589190846,-13.390041949034911,31
2026-05-01,223.04845143269006,49.851371395460376,-173.19708003722968,48
2026-05-02,5.429728671002705,13.359407285091365,7.92967861408866,10
2026-05-03,15.463396303627684,6.898819797051328,-8.564576506576357,46
2026-05-04,9.628008261457328,5.356845414474544,-4.271162846982784,71
2026-05-05,22.461648766562945,31.626788187594972,9.165139421032027,55
2026-05-06,13.319974800272398,4.674999778687322,-8.644975021585076,19
2026-05-08,20.7182067869611,4.885240322752519,-15.832966464208582,62
2026-05-09,17.97409076309938,30.8254508192273,12.85136005612792,72
2026-05-10,7.432601521716734,-4.000594961716076,-11.433196483432809,33
2026-05-11,11.55415231016318,-9.203812973641085,-20.757965283804268,30
2026-05-12,24.218530464809433,4.1505570426658345,-20.0679734221436,18
2026-05-13,19.553548633620842,5.094900904003574,-14.458647729617269,10
2026-05-14,11.097324032433368,5.807305445023723,-5.290018587409645,7
2026-05-15,21.685695682808632,-10.901445560716013,-32.58714124352464,50
2026-05-16,18.83171372897035,2.899040915344936,-15.932672813625413,11
2026-05-17,19.77573871212793,-11.16875385390029,-30.944492566028217,5
2026-05-18,25.437246985382156,21.096236634840107,-4.341010350542049,81
2026-05-20,31.791715374508634,12.495102341756631,-19.296613032752003,126
2026-05-22,16.17421606054698,-3.7551436667633444,-19.929359727310324,91
2026-05-23,16.604108390667076,-3.186756245853778,-19.790864636520855,119
2026-05-28,17.519321964387718,6.983046701102379,-10.53627526328534,29
2026-05-29,29.58815134228393,-10.13939213011172,-39.72754347239565,62
2026-06-03,36.48969831971731,13.967118326217296,-22.522579993500017,117
2026-06-11,23.549188659402926,2.0615407177827065,-21.48764794162022,161
2026-06-14,17.860232272701438,-3.7505763917324035,-21.61080866443384,64
2026-06-15,21.777619420912348,1.9331714374210094,-19.84444798349134,59
2026-06-18,19.89289849384769,5.809891694960649,-14.08300679888704,119
2026-06-19,20.98784698200699,21.531118904153022,0.5432719221460331,55
2026-06-20,15.900135994084742,6.591167418955279,-9.308968575129462,29
2026-06-21,17.27120595012469,-0.3947143857207279,-17.665920335845417,54
2026-06-22,12.945961631776152,0.24121674502325197,-12.7047448867529,133
2026-06-26,11.065319421411907,-5.508678683511071,-16.57399810492298,171
2026-06-27,11.957245796485413,-5.112726489698739,-17.069972286184154,53
2026-06-28,16.99070466162841,1.5457859412011408,-15.44491872042727,46
2026-06-29,13.987458710307052,-3.3233644427513997,-17.31082315305845,74
